station_code,station,line_name,C/A,unit,datetime
N519AR461,B'WAY-LAFAYETTE,BDFQ6,N519A,R461,2854
N519R461,B'WAY-LAFAYETTE,BDFQ6,N519,R461,2854
N520R240,GRAND ST,BD,N520,R240,2850
N521R300,2 AV,F,N521,R300,2850
N523R300,2 AV,F,N523,R300,2850
N525R142,DELANCEY/ESSEX,FJMZ,N525,R142,2854
N526R142,DELANCEY/ESSEX,FJMZ,N526,R142,2854
N528R257,EAST BROADWAY,F,N528,R257,2850
N529R257,EAST BROADWAY,F,N529,R257,2850
N530R301,YORK ST,F,N530,R301,2854
N531R129,BERGEN ST,FG,N531,R129,2854
N532R129,BERGEN ST,FG,N532,R129,2854
N533R129,BERGEN ST,FG,N533,R129,2847
N534R220,CARROLL ST,FG,N534,R220,2850
N535R220,CARROLL ST,FG,N535,R220,2850
N536R270,SMITH-9 ST,FG,N536,R270,2850
N537R258,4 AV-9 ST,DFGMNR,N537,R258,2850
N539R288,7 AV,FG,N539,R288,2854
N541R241,15 ST-PROSPECT,FG,N541,R241,2850
N542R241,15 ST-PROSPECT,FG,N542,R241,2850
N543R289,FT HAMILTON PKY,FG,N543,R289,2854
N544R289,FT HAMILTON PKY,FG,N544,R289,2854
N545R204,CHURCH AV,FG,N545,R204,2850
N546R204,CHURCH AV,FG,N546,R204,2850
N547R420,DITMAS AV,F,N547,R420,2854
N548R420,DITMAS AV,F,N548,R420,2854
N549R242,18 AV,F,N549,R242,2850
N550R242,18 AV,F,N550,R242,2850
N551R421,AVENUE I,F,N551,R421,2854
N553R422,BAY PKWY,F,N553,R422,2854
N554R423,AVENUE N,F,N554,R423,2854
N555R423,AVENUE N,F,N555,R423,2854
N556R424,AVENUE P,F,N556,R424,2850
N557R130,KINGS HWY,F,N557,R130,2854
N558R130,KINGS HWY,F,N558,R130,2854
N559R425,AVENUE U,F,N559,R425,2854
N561R271,AVENUE X,F,N561,R271,2850
N562R426,NEPTUNE AV,F,N562,R426,2854
N600R302,57 ST,F,N600,R302,2854
N601AR319,LEXINGTON AV/63,F,N601A,R319,2850
N601R319,LEXINGTON AV/63,F,N601,R319,2850
N602R259,ROOSEVELT ISLND,F,N602,R259,2850
N603R303,21 ST-QNSBRIDGE,F,N603,R303,2850
N604R342,JAMAICA VAN WK,E,N604,R342,2854
N605R024,SUTPHIN-ARCHER,EJZ,N605,R024,2850
N606R025,JAMAICA CENTER,EJZ,N606,R025,2850
N607R025,JAMAICA CENTER,EJZ,N607,R025,2850
N700AR570,72 ST-2 AVE,Q,N700A,R570,2854
N700R570,72 ST-2 AVE,Q,N700,R570,2854
N701AR571,86 ST-2 AVE,Q,N701A,R571,2854
N701R571,86 ST-2 AVE,Q,N701,R571,2854
N702AR572,96 ST-2 AVE,Q,N702A,R572,2854
N702R572,96 ST-2 AVE,Q,N702,R572,2854
PTH01R549,NEWARK HW BMEBE,1,PTH01,R549,2856
PTH01R549,NEWARK HW BMEBE,1,PTH01,R549,2856
PTH02R544,HARRISON,1,PTH02,R544,2856
PTH03R552,JOURNAL SQUARE,1,PTH03,R552,2856
PTH04R551,GROVE STREET,1,PTH04,R551,2856
PTH05R543,EXCHANGE PLACE,1,PTH05,R543,2856
PTH06R546,PAVONIA/NEWPORT,1,PTH06,R546,2856
PTH07R550,CITY / BUS,1,PTH07,R550,2856
PTH09R548,CHRISTOPHER ST,1,PTH09,R548,2855
PTH10R547,9TH STREET,1,PTH10,R547,2856
PTH11R545,14TH STREET,1,PTH11,R545,2856
PTH12R542,TWENTY THIRD ST,1,PTH12,R542,2856
PTH13R541,THIRTY ST,1,PTH13,R541,2856
PTH16R550,LACKAWANNA,1,PTH16,R550,2856
PTH17R541,THIRTY THIRD ST,1,PTH17,R541,2856
PTH18R549,NEWARK BM BW,1,PTH18,R549,2856
PTH19R549,NEWARK C,1,PTH19,R549,2856
PTH19R549,NEWARK C,1,PTH19,R549,2856
PTH20R549,NEWARK HM HE,1,PTH20,R549,2856
PTH21R540,PATH WTC 2,1,PTH21,R540,2856
PTH22R540,PATH NEW WTC,1,PTH22,R540,2856
R101R001,SOUTH FERRY,1RW,R101,R001,2854
R102R304,RECTOR ST,1,R102,R304,2850
R103R304,RECTOR ST,1,R103,R304,2850
R106R305,WTC-CORTLANDT,1,R106,R305,2854
R107DR305,WTC-CORTLANDT,1,R107D,R305,2854
R107R305,WTC-CORTLANDT,1,R107,R305,2854
R108AR305,WTC-CORTLANDT,1,R108A,R305,2854
R108R305,WTC-CORTLANDT,1,R108,R305,2854
R109R305,WTC-CORTLANDT,1,R109,R305,2854
R110R027,WALL ST,23,R110,R027,2850
R111R027,WALL ST,23,R111,R027,2850
R112AR027,WALL ST,23,R112A,R027,2850
R112R027,WALL ST,23,R112,R027,2850
R113R028,FULTON ST,2345ACJZ,R113,R028,2854
R114R028,FULTON ST,2345ACJZ,R114,R028,2854
R115R029,PARK PLACE,23ACE,R115,R029,2850
R116R030,CHAMBERS ST,123,R116,R030,2850
R117R343,FRANKLIN ST,1,R117,R343,2854
R118R343,FRANKLIN ST,1,R118,R343,2854
R119R320,CANAL ST,1,R119,R320,2854
R120R320,CANAL ST,1,R120,R320,2854
R121R290,HOUSTON ST,1,R121,R290,2854
R122R290,HOUSTON ST,1,R122,R290,2854
R123R290,HOUSTON ST,1,R123,R290,2854
R124R290,HOUSTON ST,1,R124,R290,2854
R125R189,CHRISTOPHER ST,1,R125,R189,2850
R126R189,CHRISTOPHER ST,1,R126,R189,2850
R127R105,14 ST,123FLM,R127,R105,2850
R128R105,14 ST,123FLM,R128,R105,2850
R129R321,18 ST,1,R129,R321,2850
R130R321,18 ST,1,R130,R321,2850
R131R190,23 ST,1,R131,R190,2854
R132R190,23 ST,1,R132,R190,2854
R133R272,28 ST,1,R133,R272,2854
R134R272,28 ST,1,R134,R272,2854
R135R031,34 ST-PENN STA,123,R135,R031,2850
R137R031,34 ST-PENN STA,123,R137,R031,2850
R138R293,34 ST-PENN STA,123ACE,R138,R293,2854
R139R031,34 ST-PENN STA,123,R139,R031,2850
R141R031,34 ST-PENN STA,123,R141,R031,2850
R142R293,34 ST-PENN STA,123ACE,R142,R293,2854
R143R032,TIMES SQ-42 ST,1237ACENQRSW,R143,R032,2850
R145R032,TIMES SQ-42 ST,1237ACENQRSW,R145,R032,2850
R147R033,TIMES SQ-42 ST,1237ACENQRS,R147,R033,2850
R148R033,TIMES SQ-42 ST,1237ACENQRSW,R148,R033,2850
R151R033,TIMES SQ-42 ST,1237ACENQRSW,R151,R033,2850
R154R116,50 ST,1,R154,R116,2850
R155R116,50 ST,1,R155,R116,2850
R158R084,59 ST COLUMBUS,1ABCD,R158,R084,2850
R159R164,66 ST-LINCOLN,1,R159,R164,2854
R159R164,66 ST-LINCOLN,1,R159,R164,2854
R160AR164,66 ST-LINCOLN,1,R160A,R164,2854
R160R164,66 ST-LINCOLN,1,R160,R164,2854
R161AR452,72 ST,123,R161A,R452,2854
R161BR452,72 ST,123,R161B,R452,2854
R162R166,79 ST,1,R162,R166,2854
R163R166,79 ST,1,R163,R166,2854
R164R167,86 ST,1,R164,R167,2854
R165R167,86 ST,1,R165,R167,2854
