station_code,station,GTFS_stop_id,C/A,line_name,NTACode,NTAName,geometry,lat,long,unit
H032R295,WILSON AV,L20,H032,L,BK77,Bushwick North,POINT (-73.90404599999999 40.688764),40.688764,-73.904046,R295
H033R313,BUSHWICK AV,L21,H033,L,BK78,Bushwick South,POINT (-73.905249 40.682829),40.682829,-73.905249,R313
H035R348,ATLANTIC AV,L24,H035,L,BK85,East New York (Pennsylvania Ave),POINT (-73.903097 40.675345),40.675345,-73.903097,R348
H037R349,SUTTER AV,L25,H037,L,BK81,Brownsville,POINT (-73.90197499999999 40.669367),40.669367,-73.901975,R349
H038R350,LIVONIA AV,L26,H038,L,BK81,Brownsville,POINT (-73.900571 40.664038),40.664038,-73.900571,R350
H039R375,NEW LOTS,L27,H039,L,BK81,Brownsville,POINT (-73.899232 40.65873300000001),40.658733000000005,-73.899232,R375
H040R376,EAST 105 ST,L28,H040,L,BK82,East New York,POINT (-73.899485 40.650573),40.650573,-73.899485,R376
H041R152,CANARSIE-ROCKAW,L29,H041,L,BK50,Canarsie,POINT (-73.90185 40.646654),40.646654,-73.90185,R152
J001R460,MARCY AV,M16,J001,JMZ,BK72,Williamsburg,POINT (-73.957757 40.708359),40.708359,-73.957757,R460
J002R460,MARCY AV,M16,J002,JMZ,BK72,Williamsburg,POINT (-73.957757 40.708359),40.708359,-73.957757,R460
J003R352,HEWES ST,M14,J003,JM,BK72,Williamsburg,POINT (-73.95343100000001 40.70687),40.70687,-73.95343100000001,R352
J005R353,LORIMER ST,M13,J005,JM,BK72,Williamsburg,POINT (-73.947408 40.703869),40.703869,-73.947408,R353
J007R377,FLUSHING AV,M12,J007,JM,BK78,Bushwick South,POINT (-73.941126 40.70026),40.70026,-73.941126,R377
J009R378,MYRTLE AV,M11,J009,JMZ,BK35,Stuyvesant Heights,POINT (-73.93565699999999 40.697207),40.697207,-73.93565699999999,R378
J012R379,KOSCIUSZKO ST,J31,J012,J,BK35,Stuyvesant Heights,POINT (-73.928814 40.693342),40.693342,-73.928814,R379
J013R380,GATES AV,J30,J013,JZ,BK78,Bushwick South,POINT (-73.92227 40.68963),40.68963,-73.92227,R380
J016R381,HALSEY ST,J29,J016,J,BK78,Bushwick South,POINT (-73.91655899999999 40.68637),40.686370000000004,-73.91655899999999,R381
J017R432,CHAUNCEY ST,J28,J017,JZ,BK79,Ocean Hill,POINT (-73.91045600000001 40.682893),40.682893,-73.91045600000001,R432
J020R433,ALABAMA AV,J24,J020,J,BK82,East New York,POINT (-73.89865400000001 40.676992),40.676992,-73.89865400000001,R433
J021R434,VAN SICLEN AV,J23,J021,JZ,BK82,East New York,POINT (-73.891688 40.678024),40.678024,-73.891688,R434
J022R435,CLEVELAND ST,J22,J022,J,BK82,East New York,POINT (-73.88463900000001 40.679947),40.679947,-73.884639,R435
J023R436,NORWOOD AV,J21,J023,JZ,BK83,Cypress Hills-City Line,POINT (-73.880039 40.68141),40.68141,-73.880039,R436
J024R437,CRESCENT ST,J20,J024,JZ,BK83,Cypress Hills-City Line,POINT (-73.873785 40.683194),40.683194,-73.873785,R437
J025R003,CYPRESS HILLS,J19,J025,J,BK83,Cypress Hills-City Line,POINT (-73.87255 40.689941),40.689941,-73.87255,R003
J028R004,75 ST-ELDERTS,J17,J028,JZ,QN53,Woodhaven,POINT (-73.86713899999999 40.691324),40.691324,-73.867139,R004
